Date,Product ID,Name,Amount,Size Value,Size Unit,Price (BDT),Old Price (BDT),Discount (%),SKU,Vendor,Category,Scraped Category,Units Sold,Rating,URL
2026-09-11,78353,Hup Seng Cream Crackers 428gm,428 g,428.0,g,1195.0,,,DSP01930,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/hup-seng-cream-crackers-428gm
2026-09-11,78355,Hup Seng Deluxe Original Crackers Biscuit 258gm,258 g,258.0,g,425.0,,,DSP01931,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/hup-seng-deluxe-original-crackers-biscuit-258gm
2026-09-11,78356,Kerk Deluxe Vegetable Crackers Biscuit 192gm,192 g,192.0,g,300.0,,,DSP01932,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/kerk-deluxe-vegetable-crackers-biscuit-192gm
2026-09-11,78357,Julies Le-mond Puff Sand.Ched.Cheese180g,180 g,180.0,g,375.0,,,DSP01933,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-le-mond-puff-sand-ched-cheese-180g-dsp01933
2026-09-11,78358,Kerk Sweet Time Assorted Biscuit 600gm,600 g,600.0,g,885.0,,,DSP01934,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/kerk-sweet-time-assorted-biscuit-600gm
2026-09-11,78359,Julies Le-mond Puff Sand.ChocoHaznut180g,180 g,180.0,g,350.0,,,DSP01935,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-le-mond-puff-sand-choco-hazelnut-180g
2026-09-11,78360,Julies Cheese Sandwich 125gm,125 g,125.0,g,250.0,,,DSP01936,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-cheese-sandwich-125gm
2026-09-11,78361,Julies Love Letters Choco.Cream Tin400gm,400 g,400.0,g,822.0,,,DSP01937,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/julies-love-letters-choco-cream-tin-400gm
2026-09-11,78487,Lotte Choco Pie 168gm 6pcs,6 pcs,6.0,pcs,150.0,,,DSP01967,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/lotte-choco-pie-168gm-6pcs
2026-09-11,78488,Siam Khatta Meetha 100gm,100 g,100.0,g,50.0,,,DSP01968,Daily Shopping,local-snacks,local-snacks,,0.0,https://othoba.com/siam-khatta-meetha-100gm
2026-09-11,78491,Alshifa Acacia Honey 500ml,500 ml,500.0,ml,1160.0,,,DSP01971,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/alshifa-acacia-honey-500ml
2026-09-11,78495,Alshifa Acacia Honey 250ml,250 ml,250.0,ml,600.0,,,DSP01975,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/alshifa-acacia-honey-250ml
2026-09-11,78496,Alshifa Acacia Honey 125ml,125 ml,125.0,ml,360.0,,,DSP01976,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/alshifa-acacia-honey-125ml
2026-09-11,78497,Nestle Milo Chocolate Tin 400gm,400 g,400.0,g,430.0,,,DSP01977,Daily Shopping,chocolate-candy,chocolate-candy,,5.0,https://othoba.com/milo-chocolate-tin-400gm
2026-09-11,78499,Tiffany Deluxe Eclairs ToffeePacket350gm,350 g,350.0,g,320.0,,,DSP01979,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/tiffany-deluxe-eclairs-toffee-packet-350gm
2026-09-11,78502,Rico Chococos 25gm,25 g,25.0,g,40.0,,,DSP01982,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/rico-chococos-25gm
2026-09-11,78505,Stute Diabetic Orange Marmalade 430gm,430 g,430.0,g,710.0,,,DSP01985,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/stute-diabetic-orange-marmalade-430gm
2026-09-11,78508,Stute Diabetic Apricot Extra Jam 430gm,430 g,430.0,g,710.0,,,DSP01988,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/stute-diabetic-apricot-extra-jam-430gm
2026-09-11,78510,Stute Diabetic Strawberry Extra Jam 430gm,430 g,430.0,g,390.0,,,DSP01990,Daily Shopping,bakery-breakfast,bakery-breakfast,,0.0,https://othoba.com/stute-diabetic-strawberry-extra-jam-430gm
2026-09-11,78511,Ahmed Green Chilli Sauce 340gm,340 g,340.0,g,100.0,,,DSP01991,Daily Shopping,sauces,sauces,,0.0,https://othoba.com/ag-bbq-sauce-500-ml
2026-09-11,78513,Cadburry Cocoa Powder 125gm,125 g,125.0,g,485.0,,,DSP01993,Daily Shopping,food-additives,food-additives,,5.0,https://othoba.com/cadbury-cocoa-powder-125-gm
2026-09-11,78516,Big Babol Gum Rasa Blueberry 20gm,20 g,20.0,g,60.0,,,DSP01996,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/big-babol-gum-rasa-blueberry-20-gm
2026-09-11,78520,Erko Mallow World Pink & White 150gm,150 g,150.0,g,405.0,,,DSP01998,Daily Shopping,chocolate-candy,chocolate-candy,,5.0,https://othoba.com/erko-mallow-world-pink-white-150-gm
2026-09-11,78522,Foxs  Fruits Packet 125gm,125 g,125.0,g,175.0,,,DSP01999,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/foxs-fruits-packet-125-gm
2026-09-11,78523,Lotte Choco Pie 336gm 12 Pcs,12 pcs,12.0,pcs,280.0,,,DSP02000,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/lotte-choco-pie-336gm-12-pcs
2026-09-11,78529,Cadbury GEMS Surprise 21.36gm IN,21.36 g,21.36,g,92.0,,,DSP02004,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-gems-surprise-2136gm-in
2026-09-11,78530,Cadbury Temptation Almond Treat 72 ±3gm,3 g,3.0,g,250.0,,,DSP02005,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-temptation-almond-treat-72gm
2026-09-11,78531,Santa Sophia La Pasta Penne Rigate 500gm,500 g,500.0,g,300.0,,,DSP02006,Daily Shopping,macaroni,macaroni,,5.0,https://othoba.com/santa-sophia-la-pasta-penne-rigate-500gm
2026-09-11,78532,Arnotts Tim Tam Cappuccino Biscuit 120g,120 g,120.0,g,200.0,,,DSP02007,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/arnotts-tim-tam-cappuccino-biscuit-120g
2026-09-11,78533,Cadbury Temptation Cashew Appeal 72gm,72 g,72.0,g,190.0,,,DSP02008,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-temptation-cashew-appeal-72gm
